SYS_Time,EXCH,INSTRUMENT,EXPIRY,OPTION,STRIKE,tradedDate,time,underlyingValue,lastPrice,buyPrice1,sellPrice1,buyQuantity1,sellQuantity1,totalBuyQuantity,totalSellQuantity,openInterest,marketLot,tradedVolume,tradedValue,change,pChange,strikePrice,expiryDate,optionType,closePrice,openPrice,lowPrice,highPrice
Mon Jul 24 12:21:37 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,12:20:54,9962.85,240.4,234.55,236.35,150,300,57675,20625,50175,75,,,change,-16.3,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 12:21:37 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,12:20:54,9962.85,139.45,139.25,140.1,150,75,881250,53175,143925,75,,,change,-25.59,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,12:22:54,9964.9,240.4,233.65,235.45,300,375,56175,20475,50175,75,,,change,-16.3,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,12:22:54,9964.9,138.5,138.05,138.8,300,225,880125,56100,143925,75,,,change,-26.09,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10000,24-Jul-17,12:22:54,9964.9,59.15,59.1,59.3,450,1650,324150,184950,2507925,75,,,change,-41.23,10000,27-Jul-17,PE,0,94.8,56.15,96.35
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9900,24-Jul-17,12:22:54,9964.9,19.05,18.95,19,600,600,521175,814050,6510375,75,,,change,-50.71,9900,27-Jul-17,PE,0,32,18,35.7
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9800,24-Jul-17,12:22:54,9964.9,6.9,6.8,6.85,4950,1125,450150,619425,7089525,75,,,change,-49.82,9800,27-Jul-17,PE,0,11.35,6.6,12.7
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9700,24-Jul-17,12:22:54,9964.9,3.25,3.2,3.25,10575,6000,160500,201975,4932600,75,,,change,-44.44,9700,27-Jul-17,PE,0,5.4,3.1,5.45
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9600,24-Jul-17,12:23:24,9962.9,2.05,2,2.05,53475,24075,2252025,140475,4528950,75,,,change,-28.07,9600,27-Jul-17,PE,0,2.2,1.75,2.35
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9500,24-Jul-17,12:23:24,9962.9,1.4,1.4,1.45,35250,19200,2591025,148725,4890675,75,,,change,-31.71,9500,27-Jul-17,PE,0,1.7,1.25,1.7
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9400,24-Jul-17,12:23:54,9964,1.1,1.1,1.15,49800,2550,2453925,81675,4230150,75,,,change,-31.25,9400,27-Jul-17,PE,0,1.25,1,1.3
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10200,24-Jul-17,12:23:54,9964,1.2,1.15,1.2,20925,13125,2027025,154350,1773150,75,,,change,-14.29,10200,27-Jul-17,CE,0,1.8,0.95,1.8
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10100,24-Jul-17,12:23:54,9964,4.35,4.25,4.35,3525,3075,2731050,261000,3318375,75,,,change,27.94,10100,27-Jul-17,CE,0,4.9,2.9,4.9
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10000,24-Jul-17,12:23:54,9964,23.55,23.45,23.6,1500,75,2329500,802575,6753375,75,,,change,52.43,10000,27-Jul-17,CE,0,16.5,13.55,24.65
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9900,24-Jul-17,12:24:54,9962,77.55,77.35,77.6,600,1200,452100,293550,3770325,75,,,change,55.88,9900,27-Jul-17,CE,0,50,46.6,80
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9800,24-Jul-17,12:24:54,9962,165,164.8,165.9,75,75,539700,92775,2143425,75,,,change,34.91,9800,27-Jul-17,CE,0,128.15,125.2,169.6
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9700,24-Jul-17,12:24:54,9962,258.5,258.5,260,525,75,437025,50175,1284900,75,,,change,22.28,9700,27-Jul-17,CE,0,221.65,216,264
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9600,24-Jul-17,12:24:54,9962,357.5,357.3,358.7,75,75,118125,43575,966750,75,,,change,15.36,9600,27-Jul-17,CE,0,334.9,308.5,361.4
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9500,24-Jul-17,12:24:54,9962,460,457.65,459.6,75,300,57900,35100,958125,75,,,change,11.99,9500,27-Jul-17,CE,0,424.45,416.05,462.1
Mon Jul 24 12:23:50 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9400,24-Jul-17,12:24:54,9962,555.45,554.7,556.7,150,600,84750,31275,447150,75,,,change,9.63,9400,27-Jul-17,CE,0,511.25,511.25,558
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,12:36:55,9966.1,235.95,234.75,236.45,150,150,57600,20625,50025,75,,,change,-17.84,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,12:37:55,9965.5,140,139.05,140,75,150,889800,54450,146250,75,,,change,-25.29,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10000,24-Jul-17,12:37:25,9963.25,60.5,60.3,60.5,225,2925,334575,189675,2492100,75,,,change,-39.89,10000,27-Jul-17,PE,0,94.8,56.15,96.35
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9900,24-Jul-17,12:37:55,9965.5,19.05,19,19.15,1050,9900,609675,817200,6552225,75,,,change,-50.71,9900,27-Jul-17,PE,0,32,18,35.7
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9800,24-Jul-17,12:37:55,9965.5,6.95,6.9,6.95,4800,225,492525,629850,7152450,75,,,change,-49.45,9800,27-Jul-17,PE,0,11.35,6.6,12.7
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9700,24-Jul-17,12:37:55,9965.5,3.3,3.25,3.3,10350,10950,146850,222525,4958925,75,,,change,-43.59,9700,27-Jul-17,PE,0,5.4,3.1,5.45
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9600,24-Jul-17,12:38:25,9964.7,2.05,2,2.05,68175,14100,2265900,131400,4548225,75,,,change,-28.07,9600,27-Jul-17,PE,0,2.2,1.75,2.35
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9500,24-Jul-17,12:38:55,9965.3,1.55,1.5,1.55,24675,12825,2693475,101925,4927125,75,,,change,-24.39,9500,27-Jul-17,PE,0,1.7,1.25,1.7
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9400,24-Jul-17,12:38:25,9964.7,1.2,1.15,1.2,24600,14175,2486925,77775,4227225,75,,,change,-25,9400,27-Jul-17,PE,0,1.25,1,1.3
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10200,24-Jul-17,12:38:55,9965.3,1.3,1.3,1.35,13725,28425,2115075,140250,1810575,75,,,change,-7.14,10200,27-Jul-17,CE,0,1.8,0.95,1.8
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10100,24-Jul-17,12:39:25,9966.8,4.3,4.3,4.4,5025,6525,2728875,275250,3296025,75,,,change,26.47,10100,27-Jul-17,CE,0,4.9,2.9,4.9
